MYD88_A2A3V1_x1,1,model_1_multimer_v3_p1_230425_364995,5.171,47.32,0.3196,0.286,0.0391,81,114,MYD88_A2A3V1_x1_1,1,2
MYD88_A2A3V1_x1,2,model_2_multimer_v3_p1_230425_438169,7.449,48.54,0.3257,0.2614,0.0312,42,47,MYD88_A2A3V1_x1_2,1,2
MYD88_A2A3V1_x1,3,model_3_multimer_v3_p1_230426_610415,5.127,46.87,0.3266,0.222,0.0425,60,60,MYD88_A2A3V1_x1_3,1,2
MYD88_A2A3V1_x1,4,model_4_multimer_v3_p1_230426_303579,3.788,44.47,0.3148,0.2384,0.0966,91,109,MYD88_A2A3V1_x1_4,1,2
MYD88_A2A3V1_x1,5,model_5_multimer_v3_p1_230426_611096,5.564,47.61,0.3226,0.1482,0.0129,28,34,MYD88_A2A3V1_x1_5,1,2
MYD88_A2A4P0_x1,1,model_1_multimer_v3_p1_230424_764590,3.556,68.44,0.5206,0.4562,0.0584,106,148,MYD88_A2A4P0_x1_1,1,2
MYD88_A2A4P0_x1,2,model_2_multimer_v3_p1_230424_132298,1.539,67.07,0.5212,0.3588,0.0447,103,166,MYD88_A2A4P0_x1_2,1,2
MYD88_A2A4P0_x1,3,model_3_multimer_v3_p1_230425_437383,1.39,68.56,0.5403,0.517,0.0794,83,132,MYD88_A2A4P0_x1_3,1,2
MYD88_A2A4P0_x1,4,model_4_multimer_v3_p1_230426_746522,3.471,67.08,0.5227,0.5101,0.0525,111,192,MYD88_A2A4P0_x1_4,1,2
MYD88_A2A4P0_x1,5,model_5_multimer_v3_p1_230426_269331,1.755,67.87,0.5435,0.4831,0.0575,91,158,MYD88_A2A4P0_x1_5,1,2
MYD88_A2A5Z6_x1,1,model_1_multimer_v3_p1_230425_635666,1.309,66.26,0.3766,0.261,0.0411,80,101,MYD88_A2A5Z6_x1_1,1,2
MYD88_A2A5Z6_x1,2,model_2_multimer_v3_p1_230426_712682,2.182,68.81,0.3838,0.2334,0.0498,101,139,MYD88_A2A5Z6_x1_2,1,2
MYD88_A2A5Z6_x1,3,model_3_multimer_v3_p1_230426_639446,2.005,68.81,0.4031,0.3133,0.0387,74,101,MYD88_A2A5Z6_x1_3,1,2
MYD88_A2A5Z6_x1,4,model_4_multimer_v3_p1_230426_566226,1.743,66.72,0.371,0.3535,0.0343,73,104,MYD88_A2A5Z6_x1_4,1,2
MYD88_A2A5Z6_x1,5,model_5_multimer_v3_p1_230426_313914,3.665,68.16,0.3999,0.4379,0.0435,66,104,MYD88_A2A5Z6_x1_5,1,2
MYD88_A2A6A1_x1,1,model_1_multimer_v3_p1_230424_728798,7.759,32.18,0.2555,0.3052,0.0667,41,43,MYD88_A2A6A1_x1_1,1,2
MYD88_A2A6A1_x1,2,model_2_multimer_v3_p1_230424_705943,10.79,32.78,0.2501,0.0978,0.0045,28,28,MYD88_A2A6A1_x1_2,1,2
MYD88_A2A6A1_x1,3,model_3_multimer_v3_p1_230424_064154,8.036,32.76,0.2558,0.2896,0.07,46,44,MYD88_A2A6A1_x1_3,1,2
MYD88_A2A6A1_x1,4,model_4_multimer_v3_p1_230425_993398,8.197,30.86,0.2493,0.2557,0.0555,73,94,MYD88_A2A6A1_x1_4,1,2
MYD88_A2A6A1_x1,5,model_5_multimer_v3_p1_230426_272524,11.048,33.76,0.2424,0,0,0,0,MYD88_A2A6A1_x1_5,2,2
MYD88_A2A6Q5_x1,1,model_1_multimer_v3_p1_230426_741014,1.839,63.02,0.5076,0.493,0.0473,73,114,MYD88_A2A6Q5_x1_1,1,2
MYD88_A2A6Q5_x1,2,model_2_multimer_v3_p1_230426_201047,2.983,64.37,0.5141,0.3052,0.0143,37,50,MYD88_A2A6Q5_x1_2,1,2
MYD88_A2A6Q5_x1,3,model_3_multimer_v3_p1_230426_796800,3.498,64.18,0.5061,0.4688,0.021,55,80,MYD88_A2A6Q5_x1_3,1,2
